Date,Security ID,Base Currency,Pricing Frequency,Investment Type,Domicile,Portfolio Currency,Fund Size (USD),NAV (Daily - USD),Asset Allocation - Cash (%),Asset Allocation - Equity (%),Asset Allocation - US Equity (%),Asset Allocation - Non-US Equity (%),Asset Allocation - Bonds (%),Asset Allocation - US Bonds (%),Asset Allocation - Non-US Bonds (%),Asset Allocation - Other (%),Fixed Income - Government (%),Fixed Income - Municipal (%),Fixed Income - Corporate (%),Fixed Income - Securitized (%),Fixed Income - Cash Equivalents (%),Fixed Income - Derivatives (%),NAV_pct_change,Fund_Size_pct_change,Cluster
2015-04-30,4e3815d8,US Dollar,Daily,Open-End Fund,Luxembourg,US Dollar,108336720.0,26.155,0.0,98.54,0.0,98.54,0.0,0.0,0.0,1.46,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.024240288220551465,0.006189768306135601,1
2015-05-31,4e3815d8,US Dollar,Daily,Open-End Fund,Luxembourg,US Dollar,104641814.0,25.461,0.0,98.99,0.0,98.99,0.0,0.0,0.0,1.01,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,-0.026534123494551864,-0.03410575841690611,1
2015-03-31,4e4d0f33,Zloty,Daily,Open-End Fund,Poland,Zloty,79306541.03,54.643,4.56,76.81,0.0,76.81,18.64,0.0,18.64,0.0,9.6,0.0,0.0,0.0,10.2,3.39,1e-08,1e-08,1
2015-04-30,4e4d0f33,Zloty,Daily,Open-End Fund,Poland,Zloty,80415974.91,58.031,4.56,76.81,0.0,76.81,18.64,0.0,18.64,0.0,9.6,0.0,0.0,0.0,10.2,3.39,0.062002452281170406,0.013989185073401744,1
2015-05-31,4e4d0f33,Zloty,Daily,Open-End Fund,Poland,Zloty,92619967.0,64.096,4.56,76.81,0.0,76.81,18.64,0.0,18.64,0.0,9.6,0.0,0.0,0.0,10.2,3.39,0.10451310506453448,0.1517607925994615,1
2015-03-31,4e6c5fa3,Swiss Franc,Daily,Insurance Product Fund,Switzerland,Swiss Franc,274458709.6,216.339,4.11,0.15,0.11,0.04,0.01,0.32,-0.31,95.73,-0.19,0.0,0.17,0.04,4.11,0.0,1e-08,1e-08,0
2015-04-30,4e6c5fa3,Swiss Franc,Daily,Insurance Product Fund,Switzerland,Swiss Franc,291289610.9,225.904,4.29,0.23,0.12,0.11,0.06,0.32,-0.25,95.41,-0.14,0.0,0.18,0.03,4.39,-0.11,0.04421301753266871,0.06132398321237309,0
2015-05-31,4e6c5fa3,Swiss Franc,Daily,Insurance Product Fund,Switzerland,Swiss Franc,298662122.1,229.721,3.74,0.21,0.04,0.17,-0.17,0.25,-0.42,96.22,-0.39,0.0,0.19,0.03,3.86,-0.13,0.01689655782987476,0.02530990095122565,0
2015-03-31,4e7557a6,Pound Sterling,Daily,Open-End Fund,United Kingdom,Pound Sterling,342440137.9,4.32,2.57,97.43,55.54,41.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,1e-08,1e-08,1
2015-04-30,4e7557a6,Pound Sterling,Daily,Open-End Fund,United Kingdom,Pound Sterling,354125628.6,4.614,2.17,97.83,58.42,39.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.0,0.06805555555555554,0.03412418524201288,1
